ls,min_temp,max_temp,pressure,storming
335,-72.0,-13.0,829.0,False
335,-72.0,-6.0,831.0,False
334,-72.0,-8.0,832.0,False
334,-71.0,-6.0,832.0,False
333,-73.0,-9.0,833.0,False
332,-73.0,-10.0,833.0,False
332,-72.0,-14.0,834.0,False
331,-73.0,-7.0,833.0,False
331,-72.0,-5.0,834.0,False
330,-75.0,-4.0,834.0,False
330,-72.0,-4.0,836.0,False
329,-77.0,-6.0,837.0,False
328,-77.0,-6.0,838.0,False
328,-74.0,-8.0,837.0,False
327,-71.0,-8.0,839.0,False
327,-72.0,-9.0,838.0,False
326,-71.0,-11.0,839.0,False
326,-71.0,-8.0,839.0,False
325,-72.0,-8.0,837.0,False
324,-71.0,-10.0,840.0,False
324,-71.0,-9.0,841.0,False
323,-73.0,-13.0,842.0,False
323,-70.0,-9.0,844.0,False
322,-73.0,-8.0,841.0,False
322,-71.0,-7.0,845.0,False
321,-72.0,-8.0,840.0,False
320,-73.0,-8.0,848.0,False
320,-73.0,-5.0,842.0,False
319,-73.0,-8.0,837.0,False
319,-72.0,-2.0,846.0,False
316,-71.0,-7.0,847.0,False
316,-72.0,-8.0,847.0,False
315,-77.0,-12.0,846.0,False
315,-75.0,-10.0,850.0,False
314,-73.0,-13.0,846.0,False
313,-77.0,-11.0,850.0,False
313,-76.0,-5.0,847.0,False
312,-77.0,-5.0,852.0,False
312,-71.0,-2.0,853.0,False
311,-71.0,-7.0,850.0,False
310,-72.0,-7.0,853.0,False
310,-70.0,-4.0,849.0,False
309,-73.0,-8.0,855.0,False
309,-74.0,-6.0,850.0,False
308,-71.0,-7.0,855.0,False
307,-74.0,-6.0,855.0,False
307,-72.0,-1.0,852.0,False
306,-71.0,0.0,857.0,False
306,-73.0,-1.0,852.0,False
305,-76.0,-1.0,860.0,False
304,-72.0,-2.0,857.0,False
304,-72.0,0.0,858.0,False
303,-73.0,-1.0,860.0,False
303,-72.0,-1.0,858.0,False
302,-76.0,-2.0,864.0,False
301,-77.0,-2.0,860.0,False
301,-75.0,-4.0,862.0,False
300,-74.0,-1.0,862.0,False
299,-72.0,-1.0,862.0,False
299,-72.0,-2.0,867.0,False
